"번호","시설종류","대상시설명","소재지도로명주소","위도","경도","관리기관명","관할경찰서명","CCTV설치여부","CCTV설치대수","보호구역도로폭","데이터기준일자"
"1","유치원","돌샘유치원","서울특별시 강남구 개포로 516","37.488755","127.07138","서울특별시 강남구청","수서경찰서","Y","1","12.6","2018-04-30"
"2","유치원","신양유치원","서울특별시 강남구 선릉로 10길 18-6","37.483379","127.061678","서울특별시 강남구청","수서경찰서","Y","2","6","2018-04-30"
"3","유치원","이화유치원","서울특별시 강남구 개포로 109길 9","37.493863","127.075141","서울특별시 강남구청","수서경찰서","Y","2","15","2018-04-30"
"4","유치원","영동제일유치원","서울특별시 강남구 삼성로120길 28","37.517579","127.053437","서울특별시 강남구청","강남경찰서","Y","2","5.8","2018-04-30"
"5","유치원","소망유치원","서울특별시 강남구 광평로56길 11","37.487185","127.105105","서울특별시 강남구청","수서경찰서","Y","1","11","2018-04-30"
"6","유치원","청운유치원","서울특별시 강남구 언주로65길 5","37.494835","127.045617","서울특별시 강남구청","수서경찰서","Y","1","11.5","2018-04-30"
"7","유치원","묘동유치원","서울특별시 강남구 도곡로 78길 8","37.497479","127.058863","서울특별시 강남구청","수서경찰서","Y","5","5.5","2018-04-30"
"8","유치원","푸른유치원","서울특별시 강남구 일원로14길 25","37.484225","127.080037","서울특별시 강남구청","수서경찰서","Y","1","15.2","2018-04-30"
"9","유치원","성요셉유치원","서울특별시 강남구 도산대로 83길 27","37.526271","127.048405","서울특별시 강남구청","강남경찰서","Y","2","5.9","2018-04-30"
"10","유치원","강남유치원","서울특별시 강남구 선릉로 129길 31","37.515588","127.038891","서울특별시 강남구청","강남경찰서","Y","2","8.6","2018-04-30"
"11","유치원","럭키유치원","서울특별시 강남구 논현로 213","37.490439","127.040358","서울특별시 강남구청","수서경찰서","Y","2","6","2018-04-30"
"12","유치원","반디유치원","서울특별시 강남구 광평로47길 17","37.487139","127.098669","서울특별시 강남구청","수서경찰서","Y","2","9.6","2018-04-30"
"13","유치원","신우주유치원","서울특별시 강남구 일원로 120","37.484242","127.082725","서울특별시 강남구청","수서경찰서","Y","1","14.4","2018-04-30"
"14","유치원","초원유치원","서울특별시 강남구 논현로14길 17","37.475915","127.048663","서울특별시 강남구청","수서경찰서","Y","2","9.4","2018-04-30"
"15","유치원","성결유치원","서울특별시 강남구 언주로121길 5","37.511582","127.035354","서울특별시 강남구청","강남경찰서","Y","4","6","2018-04-30"
"16","유치원","하늘빛유치원","서울특별시 강남구 양재대로55길 10","37.492393","127.090106","서울특별시 강남구청","수서경찰서","Y","1","11.5","2018-04-30"
"17","유치원","도곡렉슬유치원","서울특별시 강남구 선릉로 217","37.492714","127.051088","서울특별시 강남구청","수서경찰서","Y","2","25","2018-04-30"
"18","유치원","역삼초등학교병설유치원","서울특별시 강남구 강남대로 66길 21","37.493105","127.033498","서울특별시 강남구청","수서경찰서","Y","","11.8","2018-04-30"
"19","유치원","개포초등학교유치원","서울특별시 강남구 영동대로3길 45","37.486865","127.071159","서울특별시 강남구청","수서경찰서","Y","1","15","2018-04-30"
"20","유치원","대현초등학교병설유치원","서울특별시 강남구 역삼로98길 16","37.504068","127.063493","서울특별시 강남구청","수서경찰서","Y","","5.5","2018-04-30"
"21","유치원","수서초등학교병설유치원","서울특별시 강남구 광평로51길 46","37.490865","127.101206","서울특별시 강남구청","수서경찰서","Y","","6.5","2018-04-30"
"22","유치원","세리유치원","서울특별시 강남구 논현로 153길 27","37.520603","127.025847","서울특별시 강남구청","강남경찰서","Y","1","6","2018-04-30"
