상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
19977290,피자마루,약수점,Q,음식,Q07,패스트푸드,Q07A01,피자전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11140,중구,1114063500,약수동,1114016200,신당동,1.11402E+18,1,대지,372,95,서울특별시 중구 신당동 372-95,1.11404E+11,서울특별시 중구 동호로7길,37,,1.11402E+24,현진빌딩,서울특별시 중구 동호로7길 37,100450,4596,,1,,127.0108613,37.55215331
25332984,황생칼국수,,Q,음식,Q04,분식,Q04A02,국수/만두/칼국수,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114055000,명동,1114012200,회현동2가,1.11401E+18,1,대지,10,1,서울특별시 중구 회현동2가 10-1,1.11403E+11,서울특별시 중구 소공로,48,,1.11401E+24,프라임타워,서울특별시 중구 소공로 48,100725,4631,,1,,126.9830522,37.55981021
25528732,피자,,Q,음식,Q07,패스트푸드,Q07A01,피자전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11140,중구,1114063500,약수동,1114016200,신당동,1.11402E+18,1,대지,366,126,서울특별시 중구 신당동 366-126,1.11403E+11,서울특별시 중구 다산로,56,,1.11402E+24,남산정은스카이아파트,서울특별시 중구 다산로 56,100450,4597,,1,,127.0077622,37.5494512
21782177,샘,,Q,음식,Q13,음식배달서비스,Q13A02,국/찌개배달,I56132,이동 음식업,11,서울특별시,11140,중구,1114060500,을지로동,1114015100,을지로5가,1.11402E+18,1,대지,154,,서울특별시 중구 을지로5가 154,1.11404E+11,서울특별시 중구 동호로34길,5,,1.11402E+24,,서울특별시 중구 동호로34길 5,100195,4561,,1,,127.0028739,37.56553872
19972785,현대,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114052000,소공동,1114011400,태평로2가,1.11405E+18,1,대지,69,3,서울특별시 중구 태평로2가 69-3,1.11402E+11,서울특별시 중구 세종대로,76,,1.11401E+24,청남빌딩,서울특별시 중구 세종대로 76,100864,4526,,,,126.9768639,37.56290138
20327656,브라운,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114057000,필동,1114013600,묵정동,1.11401E+18,1,대지,32,3,서울특별시 중구 묵정동 32-3,1.11403E+11,서울특별시 중구 퇴계로,252,2,1.11401E+24,,서울특별시 중구 퇴계로 252-2,100380,4619,,1,,126.999838,37.56232335
20578341,초동,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114060500,을지로동,1114015900,초동,1.11402E+18,1,대지,21,1,서울특별시 중구 초동 21-1,1.11404E+11,서울특별시 중구 충무로5길,11,,1.11402E+24,기영빌딩,서울특별시 중구 충무로5길 11,100300,4550,,1,,126.9919458,37.56505847
21824955,한가네,,Q,음식,Q13,음식배달서비스,Q13A02,국/찌개배달,I56132,이동 음식업,11,서울특별시,11140,중구,1114054000,회현동,1114011200,남창동,1.11401E+18,1,대지,30,,서울특별시 중구 남창동 30,1.11404E+11,서울특별시 중구 남대문시장길,45,3,1.11401E+24,,서울특별시 중구 남대문시장길 45-3,100804,4529,,,,126.9783564,37.56053555
22313154,명동라면,,Q,음식,Q13,음식배달서비스,Q13A02,국/찌개배달,I56132,이동 음식업,11,서울특별시,11140,중구,1114055000,명동,1114012600,명동1가,1.11406E+18,1,대지,42,2,서울특별시 중구 명동1가 42-2,1.11404E+11,서울특별시 중구 명동7길,18,1,1.11401E+24,,서울특별시 중구 명동7길 18-1,100021,4534,,,,126.9844022,37.56458834
25243465,서브웨이,,Q,음식,Q07,패스트푸드,Q07A05,샌드위치전문점,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11140,중구,1114055000,명동,1114010600,남대문로1가,1.11401E+18,1,대지,22,10,서울특별시 중구 남대문로1가 22-10,1.11403E+11,서울특별시 중구 남대문로,112,,1.11401E+24,,서울특별시 중구 남대문로 112,100091,4540,,1,,126.9829974,37.56717125
25339603,현선이네,,Q,음식,Q04,분식,Q04A03,떡볶이전문,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114055000,명동,1114010700,삼각동,1.11401E+18,1,대지,110,1,서울특별시 중구 삼각동 110-1,1.11404E+11,서울특별시 중구 남대문로10길,19,1,1.11401E+24,,서울특별시 중구 남대문로10길 19-1,100200,4540,,1,,126.9837635,37.56743915
20078434,한솥도시락,신당점,Q,음식,Q07,패스트푸드,Q07A02,도시락전문점,I56111,한식 음식점업,11,서울특별시,11140,중구,1114064500,청구동,1114016200,신당동,1.11402E+18,1,대지,340,77,서울특별시 중구 신당동 340-77,1.11403E+11,서울특별시 중구 다산로,156,,1.11402E+24,,서울특별시 중구 다산로 156,100826,4590,,1,,127.0124535,37.55757291
20008693,제일평화시장3층스낵,,Q,음식,Q04,분식,Q04A05,스낵,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114061500,신당동,1114016200,신당동,1.11402E+18,1,대지,775,,서울특별시 중구 신당동 775,1.11403E+11,서울특별시 중구 마장로,11,,1.11402E+24,제일평화시장,서울특별시 중구 마장로 11,100837,4567,,3,,127.0113809,37.56850262
19985591,피자스쿨,약수점,Q,음식,Q07,패스트푸드,Q07A01,피자전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11140,중구,1114064500,청구동,1114016200,신당동,1.11402E+18,1,대지,369,21,서울특별시 중구 신당동 369-21,1.11403E+11,서울특별시 중구 다산로,136,,1.11402E+24,,서울특별시 중구 다산로 136,100454,4590,,1,,127.0115022,37.55589802
20283888,버거킹,시청역점,Q,음식,Q07,패스트푸드,Q07A04,패스트푸드,I56199,그외 기타 음식점업,11,서울특별시,11140,중구,1114052000,소공동,1114011400,태평로2가,1.11401E+18,1,대지,330,2,서울특별시 중구 태평로2가 330-2,1.11403E+11,서울특별시 중구 서소문로,134,5,1.11401E+24,,서울특별시 중구 서소문로 134-5,100865,4514,,2,1,126.9761092,37.56346249
20467129,뚜레쥬르신당역점,신당역점,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,11,서울특별시,11140,중구,1114065000,신당5동,1114016200,신당동,1.11402E+18,1,대지,100,2,서울특별시 중구 신당동 100-2,1.11403E+11,서울특별시 중구 퇴계로,404,,1.11402E+24,,서울특별시 중구 퇴계로 404,100455,4577,,1,,127.0164846,37.56518435
20587042,호밀호두명동,,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,11,서울특별시,11140,중구,1114055000,명동,1114012500,충무로2가,1.11401E+18,1,대지,12,19,서울특별시 중구 충무로2가 12-19,1.11404E+11,서울특별시 중구 명동8가길,31,,1.11401E+24,,서울특별시 중구 명동8가길 31,100860,4537,,1,,126.9867704,37.56189656
20668298,크리스피크림,명동점,Q,음식,Q07,패스트푸드,Q07A06,도너츠전문,I56191,제과점업,11,서울특별시,11140,중구,1114055000,명동,1114012600,명동1가,1.11401E+18,1,대지,59,22,서울특별시 중구 명동1가 59-22,1.11404E+11,서울특별시 중구 명동길,19,,1.11401E+24,명동뉴서울빌딩,서울특별시 중구 명동길 19,100021,4534,,3,1,126.9833486,37.5638224
20493592,옛날홍두깨손칼국수,,Q,음식,Q04,분식,Q04A02,국수/만두/칼국수,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114063500,약수동,1114016200,신당동,1.11402E+18,1,대지,366,2,서울특별시 중구 신당동 366-2,1.11404E+11,서울특별시 중구 다산로8길,20,,1.11402E+24,,서울특별시 중구 다산로8길 20,100450,4597,,2,,127.0104696,37.55267264
20489263,던킨도너츠,시청역점,Q,음식,Q07,패스트푸드,Q07A06,도너츠전문,I56191,제과점업,11,서울특별시,11140,중구,1114052000,소공동,1114011400,태평로2가,1.11401E+18,1,대지,360,1,서울특별시 중구 태평로2가 360-1,1.11402E+11,서울특별시 중구 세종대로,93,,1.11401E+24,광학빌딩,서울특별시 중구 세종대로 93,100102,4515,,1,,126.9766131,37.56469228
20606414,실란트로베이커리,,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,11,서울특별시,11140,중구,1114054000,회현동,1114011800,남대문로5가,1.11401E+18,1,대지,395,,서울특별시 중구 남대문로5가 395,1.11403E+11,서울특별시 중구 소월로,50,,1.11401E+24,힐튼호텔,서울특별시 중구 소월로 50,100802,4637,,1,2,126.9754832,37.5554468
20876638,이삭토스트,서울동국대점,Q,음식,Q07,패스트푸드,Q07A10,토스트전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11140,중구,1114057000,필동,1114013300,충무로5가,1.11401E+18,1,대지,84,1,서울특별시 중구 충무로5가 84-1,1.11403E+11,서울특별시 중구 서애로,8,,1.11401E+24,,서울특별시 중구 서애로 8,100015,4624,,,,126.9980725,37.5614614
21628353,맛나분식,,Q,음식,Q13,음식배달서비스,Q13A02,국/찌개배달,I56132,이동 음식업,11,서울특별시,11140,중구,1114059000,광희동,1114013500,예관동,1.11406E+18,1,대지,70,3,서울특별시 중구 예관동 70-3,1.11404E+11,서울특별시 중구 퇴계로45길,33,,1.11401E+24,유성빌딩,서울특별시 중구 퇴계로45길 33,100290,4559,,,,126.9988312,37.56397273
21957712,동경우동,,Q,음식,Q04,분식,Q04A04,우동전문점,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114060500,을지로동,1114015900,초동,1.11402E+18,1,대지,17,1,서울특별시 중구 초동 17-1,1.11403E+11,서울특별시 중구 충무로,48,,1.11402E+24,,서울특별시 중구 충무로 48,100300,4549,,1,,126.9932564,37.56524085
22515982,핫도그온어스틱,,Q,음식,Q07,패스트푸드,Q07A03,핫도그,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11140,중구,1114059000,광희동,1114014700,쌍림동,1.11401E+18,1,대지,254,1,서울특별시 중구 쌍림동 254-1,1.11404E+11,서울특별시 중구 퇴계로56길,23,,1.11401E+24,,서울특별시 중구 퇴계로56길 23,100400,4615,,1,,127.0060571,37.56279936
22581951,크라제인터내셔날명동,롯데영플라자점,Q,음식,Q07,패스트푸드,Q07A04,패스트푸드,I56199,그외 기타 음식점업,11,서울특별시,11140,중구,1114052000,소공동,1114011500,남대문로2가,1.11401E+18,1,대지,123,,서울특별시 중구 남대문로2가 123,1.11403E+11,서울특별시 중구 남대문로,67,,1.11401E+24,롯데영플라자,서울특별시 중구 남대문로 67,100092,4532,,6,,126.9815082,37.56348216
25294721,전주김밥,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114057000,필동,1114013800,필동2가,1.11401E+18,1,대지,32,19,서울특별시 중구 필동2가 32-19,1.11403E+11,서울특별시 중구 퇴계로,218,5,1.11401E+24,,서울특별시 중구 퇴계로 218-5,100272,4624,,1,,126.9962626,37.56137394
25343316,정동김밥,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114052000,소공동,1114016600,서소문동,1.11402E+18,1,대지,53,3,서울특별시 중구 서소문동 53-3,1.11404E+11,서울특별시 중구 서소문로11길,6,,1.11402E+24,,서울특별시 중구 서소문로11길 6,100813,4515,,2,,126.9731028,37.56313904
25460902,로봇김밥,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114055000,명동,1114012200,회현동2가,1.11401E+18,1,대지,10,1,서울특별시 중구 회현동2가 10-1,1.11403E+11,서울특별시 중구 소공로,48,,1.11401E+24,프라임타워,서울특별시 중구 소공로 48,100725,4631,,1,,126.9830522,37.55981021
25489736,호두과자,,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,11,서울특별시,11140,중구,1114063500,약수동,1114016200,신당동,1.11406E+18,1,대지,368,74,서울특별시 중구 신당동 368-74,1.11404E+11,서울특별시 중구 다산로8길,11,,1.11402E+24,,서울특별시 중구 다산로8길 11,100450,4597,,1,,127.0102169,37.55295885
25495791,바쯔,,Q,음식,Q04,분식,Q04A02,국수/만두/칼국수,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114066500,동화동,1114016200,신당동,1.11402E+18,1,대지,282,86,서울특별시 중구 신당동 282-86,1.11404E+11,서울특별시 중구 다산로34길,41,2,1.11402E+24,,서울특별시 중구 다산로34길 41-2,100824,4586,,1,,127.0170173,37.56168372
25477114,김밤천국,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114055000,명동,1114012400,충무로1가,1.11401E+18,1,대지,24,19,서울특별시 중구 충무로1가 24-19,1.11404E+11,서울특별시 중구 명동2길,53,,1.11401E+24,,서울특별시 중구 명동2길 53,100011,4536,,1,,126.9833292,37.56108307
25427076,채움,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114055000,명동,1114012900,남산동2가,1.11401E+18,1,대지,30,1,서울특별시 중구 남산동2가 30-1,1.11404E+11,서울특별시 중구 퇴계로20길,18,,1.11401E+24,,서울특별시 중구 퇴계로20길 18,100042,4631,,1,,126.9857171,37.55943667
25465737,아리랑호두과자,,Q,음식,Q04,분식,Q04A05,스낵,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114055000,명동,1114012500,충무로2가,1.11401E+18,1,대지,60,12,서울특별시 중구 충무로2가 60-12,1.11404E+11,서울특별시 중구 명동8가길,58,,1.11401E+24,,서울특별시 중구 명동8가길 58,100861,4537,,1,,126.9881982,37.56177364
25564898,분짱,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114065000,신당5동,1114016200,신당동,1.11402E+18,1,대지,145,15,서울특별시 중구 신당동 145-15,1.11404E+11,서울특별시 중구 퇴계로86길,47,,1.11402E+24,,서울특별시 중구 퇴계로86길 47,100819,4583,,1,,127.0194845,37.56343425
25592153,임실치즈피자,,Q,음식,Q07,패스트푸드,Q07A01,피자전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11140,중구,1114055000,명동,1114012900,남산동2가,1.11401E+18,1,대지,16,3,서울특별시 중구 남산동2가 16-3,1.11404E+11,서울특별시 중구 퇴계로20길,25,,1.11401E+24,,서울특별시 중구 퇴계로20길 25,100042,4629,,1,,126.9859939,37.55906061
25595758,우리국수집,,Q,음식,Q04,분식,Q04A02,국수/만두/칼국수,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114055000,명동,1114012900,남산동2가,1.11401E+18,1,대지,15,12,서울특별시 중구 남산동2가 15-12,1.11404E+11,서울특별시 중구 퇴계로20길,23,,1.11401E+24,,서울특별시 중구 퇴계로20길 23,100042,4629,,1,,126.9859588,37.55914141
