상호명,상권업종중분류명,위도,경도
피자마루,패스트푸드,37.55215331,127.0108613
황생칼국수,분식,37.55981021,126.9830522
피자,패스트푸드,37.5494512,127.0077622
샘,음식배달서비스,37.56553872,127.0028739
현대,분식,37.56290138,126.9768639
브라운,분식,37.56232335,126.999838
초동,분식,37.56505847,126.9919458
한가네,음식배달서비스,37.56053555,126.9783564
명동라면,음식배달서비스,37.56458834,126.9844022
서브웨이,패스트푸드,37.56717125,126.9829974
현선이네,분식,37.56743915,126.9837635
한솥도시락,패스트푸드,37.55757291,127.0124535
제일평화시장3층스낵,분식,37.56850262,127.0113809
피자스쿨,패스트푸드,37.55589802,127.0115022
버거킹,패스트푸드,37.56346249,126.9761092
뚜레쥬르신당역점,제과제빵떡케익,37.56518435,127.0164846
호밀호두명동,제과제빵떡케익,37.56189656,126.9867704
크리스피크림,패스트푸드,37.5638224,126.9833486
옛날홍두깨손칼국수,분식,37.55267264,127.0104696
던킨도너츠,패스트푸드,37.56469228,126.9766131
실란트로베이커리,제과제빵떡케익,37.5554468,126.9754832
이삭토스트,패스트푸드,37.5614614,126.9980725
맛나분식,음식배달서비스,37.56397273,126.9988312
동경우동,분식,37.56524085,126.9932564
핫도그온어스틱,패스트푸드,37.56279936,127.0060571
크라제인터내셔날명동,패스트푸드,37.56348216,126.9815082
전주김밥,분식,37.56137394,126.9962626
정동김밥,분식,37.56313904,126.9731028
로봇김밥,분식,37.55981021,126.9830522
호두과자,제과제빵떡케익,37.55295885,127.0102169
바쯔,분식,37.56168372,127.0170173
김밤천국,분식,37.56108307,126.9833292
채움,분식,37.55943667,126.9857171
아리랑호두과자,분식,37.56177364,126.9881982
분짱,분식,37.56343425,127.0194845
임실치즈피자,패스트푸드,37.55906061,126.9859939
우리국수집,분식,37.55914141,126.9859588
전주김밥,분식,37.56142867,126.9963411
테마라면,분식,37.56039371,126.9662021
피자나라치킨공주,패스트푸드,37.56122792,127.002422
산촌잔치국수,분식,37.55990068,126.9768371
피자헛약수점,패스트푸드,37.55480589,127.0102038
경회루,제과제빵떡케익,37.56365835,126.9810417
무시칼국수,분식,37.56196071,126.9879467
좋은세상,분식,37.56318996,127.0193632
명품임실피자,패스트푸드,37.56693922,127.0129864
레드망고,패스트푸드,37.56010417,126.9764042
신당동종점떡볶이,분식,37.5626483,127.0149106
약수낙원떡집,제과제빵떡케익,37.55294604,127.0086892
옆구리터질뻔한김밥,분식,37.55889937,126.9798275
수피자,패스트푸드,37.54720778,127.0056418
피자토비,패스트푸드,37.55852379,127.0184283
동대문김밥,분식,37.56713133,127.0144101
밀빛초계국수,분식,37.56415139,126.9986477
스낵코너,분식,37.56242525,126.9959203
한영지하분식,분식,37.56053555,126.9783564
버거킹충무로역점,패스트푸드,37.56132495,126.9957992
고릴라김밥,분식,37.56196255,126.9881617
우리은행소비조합신라명과,제과제빵떡케익,37.55942941,126.9817331
다흰왕만두찐빵,분식,37.55922988,126.9784535
코트도르,제과제빵떡케익,37.56488634,126.9844773
지리산버섯샤브샤브칼국수,분식,37.56549874,127.0034744
7냥하우스,분식,37.56235847,126.9912578
BOX,분식,37.55816261,126.9748688
태평당,제과제빵떡케익,37.56070292,126.9737587
죠스떡볶이,분식,37.55744002,126.9694912
굿모닝핫도그,패스트푸드,37.56679277,127.0073398
한스피자,패스트푸드,37.56452381,127.0183157
대박칼국수,분식,37.5580973,126.9725381
비앤비김밥천국,분식,37.55766352,126.9775807
버거킹,패스트푸드,37.56739833,126.9790324
국일분식,분식,37.56935146,127.0137582
베떼엠,제과제빵떡케익,37.56090951,126.9809659
원일분식,분식,37.55843451,126.9771288
충무로김밥,분식,37.56274549,126.9912073
코리아국수,분식,37.56250077,126.9920934
동방미락,분식,37.56360939,126.9764241
빨간떡볶이,분식,37.55813425,127.0084733
명동김밥,분식,37.56125355,126.9853416
모스버거명동중앙점,패스트푸드,37.56537854,126.9840858
미림마트,분식,37.56679976,126.9932694
가미엔,제과제빵떡케익,37.56090951,126.9809659
맥도날드,패스트푸드,37.56416598,126.9845324
어메이징그레이스,분식,37.56411483,127.010341
몽슈슈,제과제빵떡케익,37.56090951,126.9809659
숭례분식,분식,37.55976367,126.9766239
프랑시앙바게트.,제과제빵떡케익,37.55241467,127.0119443
어머니칼국수,분식,37.56422292,126.977559
어해원,제과제빵떡케익,37.5647184,126.9817177
몬테피자,패스트푸드,37.56003817,127.0131
친구분식,분식,37.56187669,127.0099178
우베이커리,제과제빵떡케익,37.55874895,126.9770226
광주집,분식,37.55874895,126.9770226
궁과전,제과제빵떡케익,37.56161437,126.9749573
이모네,분식,37.56255355,126.9951149
우리분식,분식,37.56890151,127.0063043
가메골옛날손왕만두,분식,37.55835323,126.9771072
7번가피자,패스트푸드,37.56930719,127.012774
따봉토스트,패스트푸드,37.56276496,126.9913768
동양분식,분식,37.56181597,126.9910387
한솥도시락,패스트푸드,37.56134757,126.9784811
엄마손칼국수,분식,37.56299617,126.9952448
이삭토스트,패스트푸드,37.56524022,127.0134615
이모분식,분식,37.56509081,126.9925679
셰프의국수전,분식,37.55768327,126.9725891
신포우리만두,분식,37.56125186,126.9840966
베스킨라빈스,패스트푸드,37.56117454,126.9982461
남원,분식,37.56633905,127.0005541
할머니칼국수,분식,37.55840014,126.9773216
바렌티나,분식,37.56050823,126.9951197
파리크라상,제과제빵떡케익,37.55954278,126.9740123
꽃사슴떡볶이,분식,37.55891421,127.0026566
영우식품,분식,37.554719,126.9695061
손국시,분식,37.56582813,127.0158875
엄마손김밥,분식,37.55563609,127.0103512
명신분식,분식,37.56039473,126.9777018
캐츠,분식,37.56125186,126.9840966
스위트만쥬,제과제빵떡케익,37.56626266,127.0161308
난간분식,분식,37.56890151,127.0063043
손큰피자,패스트푸드,37.554719,126.9695061
스윗서울,제과제빵떡케익,37.55744002,126.9694912
락시도,분식,37.56250437,126.9978095
엄마손칼국수,분식,37.55891522,126.9837548
다복분식,분식,37.56339944,127.0218054
도니버거,패스트푸드,37.56070292,126.9737587
할머니김밥분식,분식,37.55934347,126.9770031
용우동동대점,분식,37.56095629,126.9980113
어랑식품,분식,37.56034908,126.9807585
에이투렛,제과제빵떡케익,37.56071584,126.9794066
CGV,패스트푸드,37.56340378,126.9828675
피자앤해피,패스트푸드,37.55771762,126.9744674
남천할매떡볶이,분식,37.56090951,126.9809659
빠나미,제과제빵떡케익,37.55549473,126.9737396
한스,분식,37.56243281,126.9936337
융태행,제과제빵떡케익,37.56233351,126.9778791
캐슬야식,음식배달서비스,37.56652426,127.015086
버거킹,패스트푸드,37.55914934,126.9984996
꾸왁칼국수,분식,37.56828457,126.9972793
우모촌,분식,37.55969278,126.9767607
풍미분식,분식,37.55295885,127.0102169
코코호도,제과제빵떡케익,37.56441743,126.9865325
행운식품,제과제빵떡케익,37.554719,126.9695061
종로김밥,분식,37.55759135,126.9734166
미미,분식,37.5585276,126.9753958
피자마루,패스트푸드,37.56190792,127.0168898
로뎀호떡,분식,37.54720778,127.0056418
피자알볼로,패스트푸드,37.56167037,127.0143349
버거비,패스트푸드,37.56340378,126.9828675
경성고로케,제과제빵떡케익,37.56090951,126.9809659
모리아,제과제빵떡케익,37.55235171,127.0108813
원조짜장떡복이,분식,37.55935603,127.0123394
시장분식,분식,37.56357239,126.9951918
52로스터스랩,분식,37.56351694,126.973041
슈하우스,분식,37.56340378,126.9828675
정동마카다,분식,37.56605186,126.9723496
충무로칼국수,분식,37.56229319,126.9962843
샘,분식,37.56554926,127.0030549
빨라쪼델프레도,패스트푸드,37.56729506,127.0156758
돈앤까,분식,37.5635826,126.9692029
명동칼국수,분식,37.56245691,126.970305
동경우동모밀,분식,37.56297316,126.9904345
에릭케제르,제과제빵떡케익,37.56465087,126.9780738
민샌드위치,패스트푸드,37.56610742,126.983974
삼성카드쇼핑-신라면세,분식,37.55774919,127.0076861
정선본샤부스끼칼국수,분식,37.56271099,126.9840315
우리집칼국수,분식,37.56485747,127.0054298
명동중앙KFC,패스트푸드,37.5644626,126.9844491
퀸베리,패스트푸드,37.55908685,126.9651336
알토,분식,37.56303164,126.9920071
로타리분식,분식,37.56255072,127.0043513
명동교자1호점,분식,37.56341328,126.985018
하나벤딩,분식,37.5647184,126.9817177
로만티카,분식,37.56582824,127.0202342
갈릴리분식,분식,37.5629435,126.991182
참맛,분식,37.56221413,127.0061102
검은아저씨가게,제과제빵떡케익,37.554719,126.9695061
여수식품,분식,37.56760631,127.0001749
국수나무,분식,37.55773872,126.9686156
도미노피자,패스트푸드,37.56469971,126.9931958
명동칼국수,분식,37.56233419,126.9779583
뽀끼마루,분식,37.55738227,126.9773582
빵고을과자점,제과제빵떡케익,37.5585516,127.0163567
로댕,제과제빵떡케익,37.56161437,126.9749573
필링스,분식,37.56335632,126.9752957
유스피자,패스트푸드,37.56708962,127.0137315
그랑프리,제과제빵떡케익,37.56353213,127.0193361
하나센,분식,37.56233163,126.9766227
피자디포우,패스트푸드,37.56693922,127.0129864
버거윈하우스,패스트푸드,37.56816645,126.9699548
일미분식,분식,37.55891326,127.0025434
이삭토스트,패스트푸드,37.56871183,127.0105405
김이랑,분식,37.5613449,126.9729802
소라분식,분식,37.56788678,126.9802936
야후분식,분식,37.5588641,127.016013
영동분식,분식,37.56769698,126.9907103
대원분식,분식,37.55900826,126.9767927
소프트비,분식,37.56225906,126.9838678
대복,분식,37.56298956,126.9997725
헐크에그머니,분식,37.55941309,126.9882188
BKR버거킹시청역점,패스트푸드,37.56354289,126.9760289
다정,분식,37.55831776,126.9855286
도토리,분식,37.5585276,126.9753958
안젤로,패스트푸드,37.54720778,127.0056418
동신스낵,분식,37.56906028,127.000563
햇님분식,분식,37.55287113,127.010501
홍두깨칼국수,분식,37.56629072,127.0195037
달인겉절이칼국수·보쌈,분식,37.56563848,126.9881233
르폴,분식,37.56623938,126.9721546
이칼국수,분식,37.56340484,126.9736198
동감,분식,37.56025531,126.9720218
신전떡볶이동대문신당점,분식,37.56417188,127.0139284
행복한칼국수,분식,37.55674081,127.0131548
고향칼국수,분식,37.5670888,126.9891338
경화당,제과제빵떡케익,37.5519075,127.010559
버거킹,패스트푸드,37.56380828,126.9838015
부어치킨,패스트푸드,37.55906061,126.9859939
삼돌이화덕피자,패스트푸드,37.56225906,126.9838678
BKR버거킹,패스트푸드,37.56380828,126.9838015
퀴즈노즈,패스트푸드,37.55924437,126.9832636
59피자,패스트푸드,37.56419611,127.0103625
명동칼국수,분식,37.56395788,127.0013329
카페옆분식집,분식,37.56584352,126.983672
둘리분식,분식,37.55332747,127.0090463
독일분식,분식,37.56589884,126.9838184
신흥분식,분식,37.5598621,126.9786259
피자마루,패스트푸드,37.55986088,126.9670923
스카이,분식,37.56848652,126.997718
신흥떡집,제과제빵떡케익,37.55264445,127.0081839
고려당분점,제과제빵떡케익,37.55958711,127.0141133
낭만김밥,분식,37.56453448,126.9844255
충무칼국수,분식,37.56518637,126.9900424
충무칼국수,분식,37.56300506,126.99735
명동칼국수,분식,37.56413901,126.9689462
남산떡집,제과제빵떡케익,37.55015023,127.0073116
목우촌웰빙마을,분식,37.54720778,127.0056418
BKR버거킹,패스트푸드,37.57080306,127.0214482
비알코리아던킨도너츠서울,패스트푸드,37.55549473,126.9737396
비아코리아,패스트푸드,37.56261704,126.9846327
브라운호프,분식,37.56232335,126.999838
남대문바지락칼국수,분식,37.5569413,126.9774208
비첸향,분식,37.56369471,126.9852632
둘리식당,분식,37.55320921,127.008912
수석김밥,분식,37.56037787,127.0192642
동방사회복지회,분식,37.56845659,126.975339
